frequency,raw
810.18,0.16
818.28,0.16
826.46,0.16
834.73,0.16
843.08,0.16
851.51,0.16
860.02,0.16
868.62,0.17
877.31,0.17
886.08,0.17
894.94,0.17
903.89,0.15
912.93,0.14
922.06,0.13
931.28,0.12
940.59,0.11
950.00,0.10
959.50,0.08
969.09,0.07
978.78,0.06
988.57,0.03
998.46,0.00
1008.44,-0.02
1018.53,-0.05
1028.71,-0.08
1039.00,-0.11
1049.39,-0.14
1059.88,-0.19
1070.48,-0.33
1081.19,-0.47
1092.00,-0.61
1102.92,-0.74
1113.95,-0.83
1125.09,-0.91
1136.34,-1.00
1147.70,-0.95
1159.18,-0.91
1170.77,-0.86
1182.48,-0.81
1194.30,-0.76
1206.25,-0.71
1218.31,-0.69
1230.49,-0.67
1242.80,-0.65
1255.22,-0.63
1267.78,-0.62
1280.45,-0.61
1293.26,-0.60
1306.19,-0.59
1319.25,-0.59
1332.45,-0.58
1345.77,-0.56
1359.23,-0.53
1372.82,-0.50
1386.55,-0.48
1400.41,-0.45
1414.42,-0.43
1428.56,-0.40
1442.85,-0.38
1457.28,-0.35
1471.85,-0.32
1486.57,-0.29
1501.43,-0.26
1516.45,-0.22
1531.61,-0.19
1546.93,-0.16
1562.40,-0.13
1578.02,-0.09
1593.80,-0.06
1609.74,-0.04
1625.84,-0.02
1642.10,-0.01
1658.52,0.01
1675.10,0.02
1691.85,0.01
1708.77,-0.03
1725.86,-0.07
1743.12,-0.11
1760.55,-0.16
1778.15,-0.27
1795.94,-0.38
1813.90,-0.49
1832.03,-0.61
1850.36,-0.73
1868.86,-0.87
1887.55,-1.01
1906.42,-1.16
1925.49,-1.33
1944.74,-1.51
1964.19,-1.69
1983.83,-1.86
2003.67,-2.04
2023.71,-2.21
2043.94,-2.35
2064.38,-2.48
2085.03,-2.62
2105.88,-2.76
2126.94,-2.88
2148.20,-3.00
2169.69,-3.12
2191.38,-3.23
2213.30,-3.32
2235.43,-3.41
2257.78,-3.50
2280.36,-3.58
2303.17,-3.67
2326.20,-3.78
2349.46,-3.89
2372.95,-4.01
2396.68,-4.12
2420.65,-4.19
2444.86,-4.26
2469.31,-4.33
2494.00,-4.40
2518.94,-4.42
2544.13,-4.43
2569.57,-4.44
2595.27,-4.44
2621.22,-4.45
2647.43,-4.43
2673.90,-4.41
2700.64,-4.39
2727.65,-4.37
2754.93,-4.35
2782.48,-4.27
2810.30,-4.17
2838.40,-4.06
2866.79,-3.93
2895.46,-3.76
2924.41,-3.59
2953.65,-3.43
2983.19,-3.26
3013.02,-3.10
3043.15,-2.92
3073.58,-2.72
3104.32,-2.52
3135.36,-2.32
3166.72,-2.12
3198.38,-1.92
3230.37,-1.70
3262.67,-1.47
3295.30,-1.28
3328.25,-1.17
3361.53,-1.06
3395.15,-0.96
3429.10,-0.85
3463.39,-0.78
3498.03,-0.72
3533.01,-0.65
3568.34,-0.59
3604.02,-0.61
3640.06,-0.66
3676.46,-0.71
3713.22,-0.76
3750.36,-0.81
3787.86,-0.92
3825.74,-1.06
3864.00,-1.20
3902.64,-1.34
3941.66,-1.48
3981.08,-1.61
4020.89,-1.75
4061.10,-1.88
4101.71,-2.07
4142.73,-2.26
4184.15,-2.45
4226.00,-2.61
4268.26,-2.77
4310.94,-3.03
4354.05,-3.32
4397.59,-3.63
4441.56,-3.96
4485.98,-4.25
4530.84,-4.54
4576.15,-4.76
4621.91,-4.86
4668.13,-4.96
4714.81,-5.06
4761.96,-5.17
4809.58,-5.10
4857.67,-5.01
4906.25,-4.92
4955.31,-4.81
5004.87,-4.64
5054.91,-4.46
5105.46,-4.40
5156.52,-4.44
5208.08,-4.48
5260.16,-4.51
5312.77,-4.57
5365.89,-4.62
5419.55,-4.68
5473.75,-4.77
5528.49,-5.04
5583.77,-5.31
5639.61,-5.55
5696.00,-5.77
5752.96,-6.14
5810.49,-6.62
5868.60,-7.11
5927.28,-7.54
5986.56,-7.94
6046.42,-8.48
6106.89,-8.87
6167.96,-9.22
6229.64,-9.82
6291.93,-9.87
6354.85,-9.91
6418.40,-9.96
6482.58,-9.94
6547.41,-9.87
6612.88,-9.79
6679.01,-9.71
6745.80,-9.64
6813.26,-9.57
6881.39,-9.51
6950.21,-9.44
7019.71,-9.37
7089.91,-9.28
7160.81,-9.18
7232.41,-9.08
7304.74,-8.98
7377.79,-8.81
7451.56,-8.61
7526.08,-8.46
7601.34,-8.33
7677.35,-8.18
7754.13,-8.02
7831.67,-7.85
7909.98,-7.70
7989.08,-7.55
8068.98,-7.40
8149.67,-7.21
